LOCATION,TIME,UE,CPI,c_ue,c_cpi
CHL,1992-01-01,6.665,35.60733,-18.27099938687921,15.42581900613543
CHL,1993-01-01,6.5425,40.13934,-1.8379594898724623,12.727744540239327
CHL,1994-01-01,7.815,44.73254,19.449751623996942,11.443137829371393
CHL,1995-01-01,7.3025,48.4152,-6.557901471529112,8.232619922767629
CHL,1996-01-01,6.325,51.97813,-13.385826771653543,7.3591144929691525
CHL,1997-01-01,6.115,55.1664,-3.320158102766798,6.133868224963082
CHL,1998-01-01,6.395,57.98554,4.578904333605877,5.110248267061105
CHL,1999-01-01,10.1375,59.92045,58.52228303362002,3.3368836437498075
CHL,2000-01-01,9.6675,62.22335,-4.6362515413070176,3.8432621917892824
CHL,2001-01-01,9.8525,64.44417,1.9136281355055464,3.569110309875627
CHL,2002-01-01,9.805,66.04844,-0.48211113930473926,2.4893950841480303
CHL,2003-01-01,9.54,67.90452,-2.7027027027027084,2.8101799224932575
CHL,2004-01-01,10.0075,68.62074,4.9004192872117525,1.0547456929229346
CHL,2005-01-01,9.235,70.71543,-7.719210592055966,3.052561077015491
CHL,2006-01-01,7.8,73.11411,-15.538711423930696,3.3920178382567974
CHL,2007-01-01,7.13,76.33684,-8.58974358974359,4.4078085611655515
CHL,2008-01-01,7.7925,82.99056,9.291725105189348,8.716263340216871
CHL,2009-01-01,9.675,83.28355,24.15784408084697,0.35304015300053787
CHL,2010-01-01,8.15,84.45845,-15.762273901808788,1.4107227657802697
CHL,2011-01-01,7.125,87.28039,-12.57668711656442,3.3412168942243174
CHL,2012-01-01,6.545561,89.9053,-8.132477192982455,3.0074453150358287
CHL,2013-01-01,6.08222,91.51421,-7.07870570605025,1.7895607934126339
CHL,2014-01-01,6.495096,95.83247,6.788245081565609,4.718677022945393
CHL,2015-01-01,6.328377,100.0,-2.566844277590362,4.348766133232295
CHL,2016-01-01,6.684913,103.7862,5.6339247803978845,3.786199999999994
CHL,2017-01-01,6.965175,106.0516,4.192455459031411,2.1827564743674976
CHL,2018-01-01,7.376639,108.6338,5.907446690140586,2.434852468043858
CHL,2019-01-01,7.22264,111.4121,-2.087658078428398,2.5574913148578085
CHL,2020-01-01,10.7778,114.8052,49.22244497856738,3.04553993686503
COL,2008-01-01,11.2775,79.80053,0.49008687903764503,6.998557540304528
COL,2009-01-01,12.08,83.15298,7.115938816227003,4.201037261281353
COL,2010-01-01,11.84167,85.04154,-1.9729304635761546,2.271187394606902
COL,2011-01-01,10.895,87.94791,-7.9943960606907725,3.4175886278635073
COL,2012-01-01,10.43417,90.73351,-4.229738412115646,3.167329388498263
COL,2013-01-01,9.705833,92.5646,-6.980306052134475,2.0180967318469256
COL,2014-01-01,9.166667,95.24696,-5.555071883062483,2.897824870414827
COL,2015-01-01,8.960834,100.0,-2.2454508274381535,4.990227509623403
COL,2016-01-01,9.274167,107.5143,3.496694615702066,7.514300000000005
COL,2017-01-01,9.425834,112.1505,1.63537059446956,4.312170567078042
COL,2018-01-01,9.719167,115.7844,3.112011096312544,3.240199553278863
COL,2019-01-01,10.545,119.8664,8.496952465164961,3.5255181181575352
COL,2020-01-01,16.13417,122.8925,53.00303461356094,2.5245606775543434
CZE,1994-01-01,4.291667,47.92465,-0.3868317513989714,10.039410124755875
CZE,1995-01-01,4.008333,52.23333,-6.601956768780056,8.990529925622832
CZE,1996-01-01,3.891667,56.80833,-2.910586520630905,8.758775287732938
CZE,1997-01-01,4.775,61.69167,22.698062295669192,8.596168906919116
CZE,1998-01-01,6.466667,68.29166,35.427581151832456,10.698348739789328
CZE,1999-01-01,8.7,69.75,34.536075539377535,2.135458414687836
CZE,2000-01-01,8.775,72.38333,0.8620689655172536,3.775383512544804
